398;;44;Immortelle randonne : Compostelle malgr moi;Rufin, Jean-Christophe
402;DVD tous publics;44;My sweet pepper land [Images animes];
404;Livre adulte;44;Mourir sur Seine [Texte imprim];Bussi, Michel
413;Bande dessine jeunesse;43;Les Lgendaires [Texte imprim]. 16. L'ternit ne dure qu'un temps;Sobral, Patrick
417;Livre adulte;43;Sigmund Freud en son temps et dans le ntre [Texte imprim];Roudinesco, Elisabeth
428;DVD tous publics;42;La Vnus  la fourrure [Images animes];
431;DVD tous publics;42;The Good Wife [Images animes];
436;Bande dessine adulte;41;Sains et saufs ? [Texte imprim];Kirkman, Robert
437;Bande dessine adulte;41;Pyongyang [Texte imprim];Delisle, Guy
441;;41;Demain, j'arrte;Legardinier, Gilles
449;DVD tous publics;41;Boardwalk Empire [Images animes]. Saison 4;
450;Livre adulte;41;Peine perdue [Texte imprim];Adam, Olivier
452;Nouveaut;41;Pars avec lui [Texte imprim];Ledig, Agns
458;DVD tous publics;40;Borgen [Images animes];
459;Bande dessine jeunesse;40;Les terres basses;Vehlmann, Fabien
462;Livre jeunesse;40;Les filles au chocolat. 3.5. Coeur sal;Cassidy, Cathy
463;Livre adulte;40;Amsterdam et ses environs [Texte imprim] : 2014 : + Rotterdam, Delft et La Haye;Gloaguen, Philippe
464;Livre adulte;40;Londres [texte imprim];
466;DVD tous publics;40;Homeland. intgrale de la saison 3. pisodes 1  6 [Images animes];
474;DVD > 12 ans;39;Django Unchained [Images animes];
477;Nouveaut musique;39;Racine carre [enregistrement sonore];Stromae
479;Livre adulte;39;Entre mes mains le bonheur se faufile [Texte imprim];Martin-Lugand, Agns
485;Livre adulte;38;Iles grecques et Athnes : sans la Crte et les les Ioniennes : 2013-2014;Gloaguen, Philippe
491;;38;Mon retour en France [Texte imprim];Tardi, Jacques
369;;46;La sirne;Lckberg, Camilla
373;Nouveaut;46;La vie en mieux [Texte imprim] : deux histoires;Gavalda, Anna
379;Livre adulte;46;La nouvelle socit du cot marginal zro [Texte imprim] : l'Internet des objets, l'mergence des communaux collaboratifs et l'clipse du capitalisme;Rifkin, Jeremy
381;;46;Baronne Blixen [Texte imprim] : roman;Saint Pern, Dominique de
387;DVD tous publics;45;Suzanne [Images animes];
388;Bande dessine jeunesse;45;Pas de piti pour les nazebroques ! [Texte imprim];Tan
391;Nouveaut musique;44;Chambre 12 [enregistrement sonore];Louane
395;Livre adulte;44;Le problme Spinoza;Yalom, Irvin D.
403;CD adulte;44;Au pays d'Alice... [Enregistrement sonore];Maalouf, Ibrahim
420;DVD tous publics;43;Pride [Images animes];
421;Livre adulte;42;Antimanuel d'conomie. 1. Les fourmis [Texte imprim];Maris, Bernard
422;Nouveaut;42;Apocalypse bb;Despentes, Virginie
424;Bande dessine jeunesse;42;Les nombrils. 6. Un t trop mortel !;Delaf
425;DVD > 12 ans;42;Prisoners [Images animes];
427;DVD tous publics;42;The Americans [Images animes];
435;DVD tous publics;41;Harry Potter et le prisonnier d'Azkaban [Images animes];Cuaron, Alfonso
438;DVD tous publics;41;Sur coute [Images animes] : Intgrale Saison 1;
440;Livre adulte;41;L'enfant allemand;Lckberg, Camilla
446;Livre adulte;41;Zro dchet : comment j'ai ralis 40 % d'conomie en rduisant mes dchets  moins de 1 litre par an ! : 100 astuces pour allger sa vie;Johnson, Bea
457;Livre jeunesse;40;La guerre des clans : le pouvoir des toiles. 1. Vision;Hunter, Erin
470;DVD tous publics;40;De l'autre ct du mur [Images animes];
480;DVD tous publics;39;Supercondriaque [Images animes];
481;Livre adulte;39;Les temps sauvages [Texte imprim];Manook, Ian
484;Livre jeunesse;38;Journal d'un dgonfl : carnet de bord de Greg Heffley;Kinney, Jeff
486;Livre adulte;38;Toscane, Ombrie [texte imprim];Gloaguen, Philippe
487;Livre jeunesse;38;Coeur vanille [Texte imprim];Cassidy, Cathy
489;Bande dessine jeunesse;38;Fairy Tail [Texte imprim]. 39;Mashima, Hiro
494;DVD tous publics;38;Palo Alto [Images animes];
498;Nouveaut;37;After. 2. After we collided;Todd, Anna
504;Livre adulte;37;Le trne de fer : l'intgrale. 1;Martin, George R.R.
511;DVD jeunesse;37;Dragons 2 [Images animes];
517;DVD tous publics;36;Naissance des pieuvres [Images animes];Sciamma, Cline
520;Bande dessine jeunesse;36;Le clan du requin [Texte imprim];Gazzotti, Bruno
525;DVD tous publics;36;Breaking bad. Saison 2 [Images animes];
529;Livre ado;36;Le spectre de la Bastille [Texte imprim]. 1;Lyfoung, Patricia
530;DVD tous publics;36;Broadchurch [Images animes] : saison 1;
531;Livre jeunesse;36;Soleil levant [Texte imprim];Hunter, Erin
535;DVD tous publics;36;Tonnerre [Images animes];
538;Nouveaut;36;Que ta volont soit faite [Texte imprim];Chattam, Maxime
539;Nouveaut musique;36;Girls in peacetime want to dance [enregistrement sonore];
